year,km_driven,owner,mileage,selling_price
2009,90000,2,13.93,150000
2011,84321,1,23.57,200000
2013,177000,1,15.1,600000
2010,60000,1,18,175000
2008,205000,2,19.09,99000
2008,70000,2,20.36,215000
2013,126000,2,19.01,520000
2016,120000,2,10.91,2280000
2015,70000,1,19.1,285000
2017,82000,1,18.49,660000
2004,110000,3,16.1,31504
2015,45000,2,20.85,515000
2012,70000,2,21.64,295000
2015,80000,2,20.45,700000
2017,45000,1,15.4,1100000
2017,60000,1,20.3,300000
2013,41800,1,18.6,450000
2017,50000,2,28.4,700000
2012,40000,1,20,250000
2009,96000,2,18.9,140000
2012,117000,1,14,250000
2011,110000,2,19.81,210000
2014,100000,2,25.8,420000
2007,88700,3,19.7,130000
2012,70000,2,16.95,320000
2010,110000,2,17.3,200000
2016,15000,1,22.74,310000
2012,80000,2,20.8,200000
2014,50000,1,18.5,350000
2018,15000,1,21.1,444000
2017,25000,1,22.7,300000
2011,57000,2,21,225000
2012,75000,1,15.96,600000
2013,26000,1,15.37,260000
2015,160000,1,24.4,375000
2013,26000,1,15.37,260000
2010,120000,2,19.7,150000
2014,50000,2,19.7,110000
2012,40000,1,19.7,225000
2017,28000,1,17.8,860000
2018,50000,1,28.4,650000
2014,90000,1,20.77,650000
2016,40000,1,24.8,710000
2017,113000,1,25.83,430000
2011,188000,2,17.8,305000
2011,100000,1,20,220000
2010,225000,3,14,150000
2017,67000,2,18.49,660000
2011,70000,4,25.44,140000
2015,50000,1,14.28,1100000
2013,60000,1,16.36,2450000
2017,34000,1,22,625000
2004,110000,3,12.8,198000
2005,140000,2,18.9,130000
2012,100000,2,16.8,540000
2017,10000,1,18.9,550000
2018,30000,1,21.63,475000
2017,22000,1,15.73,2825000
2020,5500,1,26.8,2125000
2018,18000,1,19.62,3350000
2018,20000,1,11.36,1800000
2018,7000,1,20.3,540000
2018,20000,1,17,910000
2019,4875,1,21.63,484999
2020,2700,1,17.01,1950000
2018,58511,1,24.3,950000
2015,105000,1,25.83,365000
2018,26235,1,16.55,900000
2017,26766,1,21.5,919999
2020,1600,1,13.96,1900000
2018,46000,1,15.8,2950000
2019,23000,1,17.3,1075000
2017,24522,1,20.4,600000
2017,13663,1,22.69,3200000
2019,11000,1,19.3,2600000
2016,63000,1,24.3,839000
2019,2000,1,16.2,635000
2014,300000,3,12.05,550000
2011,190000,3,19.2,180000
2015,80000,1,26,650000
2011,80000,2,16,350000
2015,54000,1,23.95,265000
2018,30000,1,23.01,330000
2019,5000,1,15.37,395000
2015,58945,1,18.49,700000
2012,90000,1,20,300000
2011,375000,1,12.8,650000
2013,160000,3,20.77,625000
2014,80000,2,15.11,425000
2004,50000,3,16.1,55000
2015,80000,2,19.09,250000
2015,156975,1,15.96,459999
2017,5000,1,21.43,1594000
2014,50000,1,18.2,300000
2018,27620,1,22.77,950000
2013,120000,1,12.05,484999
2009,120000,3,14,161000
2015,58000,1,17.19,500000
2012,50000,1,16.95,350000
2017,40000,1,20.89,550000
2018,7800,1,17.5,850000
2016,50000,1,22.74,240000
2011,68000,1,13.1,950000
2015,60000,2,16.02,423000
2005,74000,2,12.8,90000
2011,58000,2,13.93,350000
2011,70000,3,19,170000
2015,70000,1,18.16,450000
2009,110000,2,20.36,150000
2016,80000,1,22.54,511000
2018,59000,1,24.2,850000
2018,110000,1,25,250000
2020,25000,1,21.63,420000
2014,55000,1,22.74,180000
2015,25000,1,27.62,400000
2009,300000,1,14,150000
2016,143200,1,25.83,500000
2017,60000,1,17.1,1689999
2012,120000,1,23.08,204999
2014,145000,2,26.21,459999
2017,30000,1,18.6,600000
2019,8000,1,18.9,585000
2012,170000,1,13.1,551000
2013,100000,1,23.4,525000
2012,62000,1,14,160000
2014,110000,1,15.1,825000
2015,80000,2,13.58,600000
2002,80000,2,17.3,65000
2013,100000,1,23.4,550000
2015,120000,1,15.96,650000
2019,24000,1,28.4,750000
2017,80000,1,25.32,380000
2012,138000,1,22.32,400000
2003,147000,4,18.9,50000
2017,60000,1,18.49,750000
2011,80000,1,18,150000
2016,50000,1,22.74,245000
2013,189000,1,21.02,260000
2014,90000,2,21.21,411000
2014,56000,1,21.9,450000
2012,140000,2,18.88,1300000
2016,60000,1,23.1,351000
2012,130000,1,15.1,550000
2013,140000,2,18.88,1300000
2013,189000,1,21.02,260000
2014,90000,2,21.21,411000
2014,56000,1,21.9,450000
2012,140000,2,18.88,1300000
2016,60000,1,23.1,351000
2012,130000,1,15.1,550000
2013,140000,2,18.88,1300000
2016,35000,1,20.45,750000
2015,35000,1,20.45,800000
2011,156000,1,11.57,350000
2013,90000,1,22.74,200000
2008,60000,3,17,150000
2016,36000,1,19.01,800000
2017,20000,2,21.1,350000
2011,160000,1,13.93,350000
2006,185000,1,12.7,250000
2010,110000,2,17,170000
2018,10800,1,25.17,395000
2012,120000,1,15.96,450000
2019,15000,1,20.89,500000
2012,67500,1,12.2,200000
2017,30000,1,17.6,1200000
2016,50000,1,25.32,400000
2016,100000,1,18.49,650000
2016,150000,1,15.96,550000
2015,110000,1,16,1100000
2012,30000,1,22.74,254999
2011,60000,1,19.7,180000
2010,255000,2,13,160000
2008,120000,2,16.52,225000
2015,49900,2,22.74,270000
2012,86000,1,21.12,310000
2015,71850,1,20.63,225000
2015,95000,3,21.2,300000
2008,70000,4,17.5,250000
2011,35000,1,21.1,180000
2015,50000,1,20.85,550000
2007,120000,3,13.6,300000
2015,145000,1,22.7,900000
2018,40000,1,16,1530000
2015,110000,1,27.39,590000
2008,112000,2,17.3,170000
2017,70000,1,20.38,2600000
2016,110000,1,23.2,475000
2018,29000,1,24,700000
2011,60000,1,18.9,376000
2004,46000,4,16.1,75000
2012,120000,3,11.79,440000
2016,80000,1,20.51,390000
2012,159000,2,12.8,725000
2012,110000,2,15.96,325000
2010,75000,2,19.7,170000
2010,120000,3,19.3,215000
2010,110000,3,17,350000
2009,80000,4,18,80000
2012,80000,2,21.1,195000
2014,71000,1,21.64,335000
2011,108000,1,16,475000
2015,75000,1,19.87,484999
2018,22000,2,21.56,650000
2014,76131,1,13.22,1850000
2018,30000,2,18.6,700000
2014,65000,1,12.07,3000000
2018,60000,1,15.4,900000
2013,80000,1,22.07,350000
2005,80000,2,9,285000
2012,70000,1,12.07,1850000
2017,51777,1,24.3,750000
2013,64788,1,0,1650000
2018,20000,1,19.5,600000
2018,19000,1,18.78,565000
2000,46951,1,18.5,86000
2016,19000,1,20.63,329000
2016,50000,1,22.77,650000
2015,60000,1,19.67,822000
2013,100000,2,19.01,345000
2001,10000,1,17.3,30000
2012,50000,2,22.9,330000
2014,74537,2,20.51,300000
2009,90000,2,12.6,200000
2010,70000,2,18,90000
2010,80000,2,18.9,200000
2016,35000,1,24.4,550000
2015,23500,1,18.6,250000
2017,82000,1,25.6,975000
2014,100000,2,12.99,900000
2018,15000,1,18.6,610000
2017,30000,1,27.39,620000
2016,30000,1,18.9,400000
2019,11000,1,21.63,500000
2017,140000,1,19.02,200000
2016,110000,1,23,360000
2012,48000,1,20.92,252000
2012,70000,2,22.9,280000
2018,70000,2,22,509999
2016,58000,1,15.4,1050000
2010,40000,4,17.3,200000
2005,90000,2,17.3,60000
2010,40000,2,14,320000
2013,110000,1,12.05,520000
2007,80000,2,11.57,250000
2017,60000,1,24.3,725000
2015,50000,1,15.96,585000
2017,25000,1,23.84,430000
2011,100000,2,22.9,235000
2012,52000,3,19.3,350000
2010,80000,3,19.81,131000
2016,85000,1,25.8,450000
2016,83000,1,24.3,750000
2013,50000,1,22.74,200000
2009,120000,4,18.9,125000
2014,100000,1,15.96,500000
2012,70000,3,22.9,380000
2008,19000,1,19.7,128000
2009,68600,3,17,250000
2017,60000,1,16.5,690000
2014,65000,2,15.96,650000
2012,40000,2,16.8,560000
2016,25000,1,23.1,400000
2012,29500,1,20.92,200000
2018,13887,1,17,950000
2016,50000,2,22.74,300000
2016,30000,2,25.17,315000
2012,100000,1,22.74,220000
2011,60000,2,14.49,130000
2016,60000,2,22.54,595000
2011,120000,1,19.4,110000
2017,13500,1,17,680000
2013,52000,1,20.3,280000
2017,30000,2,21.4,530000
2017,14000,1,19.1,610000
2014,90000,2,15.05,500000
2018,50000,1,24.7,500000
2010,120000,2,13,250000
2018,10000,1,21.1,325000
2018,10000,1,21.4,550000
2018,25000,1,20.73,720000
2017,20000,1,17,950000
2013,60000,1,22.9,350000
2018,40000,1,18.9,500000
2012,60000,1,19.3,380000
2015,50000,1,16.9,380000
2017,20000,1,17,900000
2017,35000,1,24.7,295000
2016,40000,1,28.09,640000
2018,60000,1,21.5,790000
2015,20000,1,17.01,625000
2017,30000,2,17,604000
2015,29000,1,23.95,315000
2019,17000,1,20,950000
2017,50000,1,20.51,400000
2018,42000,1,18.6,700000
2011,120000,2,12.8,700000
2012,110000,1,21.03,260000
2012,90000,1,23.57,200000
2020,70000,1,23.26,580000
2011,66000,2,20.5,330000
2011,70000,3,16.2,400000
2018,5000,1,14.8,1350000
2014,50000,2,21.03,250000
2019,25000,1,15.41,725000
2013,70000,1,23.4,300000
2006,40000,2,16.1,120000
2016,110000,1,16,1175000
2009,150000,1,13.93,380000
2014,45000,1,19.1,400000
2005,90000,3,16.1,140000
2011,140000,2,11.57,229999
2003,83000,2,13.8,110000
2011,106000,2,16.96,550000
2008,60000,4,15.26,150000
2017,40000,2,16.8,265000
2011,138000,3,17,300000
2015,80000,1,22.74,280000
2005,50000,2,15.3,130000
2015,50000,1,18.2,350000
2009,120000,1,18.5,200000
2018,24400,1,22,550000
2013,60000,2,15.96,400000
2010,120000,2,18.5,170000
2015,60000,2,24.8,600000
2011,100000,2,19.7,130000
2011,120000,2,16.1,100000
2016,27500,1,25.17,310000
2007,10000,1,16.1,35000
2010,120000,3,18.5,200000
2015,80000,1,22.54,650000
2013,120000,1,15.64,210000
2015,90000,1,24.4,509999
2013,70000,1,20,229999
2014,188000,2,19.01,409999
2011,67840,1,18,130000
2013,30000,1,25.4,95000
2016,35000,2,22.74,225000
2017,100000,1,24.3,775000
2017,30000,1,20.51,420000
2016,70000,1,18.9,480000
2010,380000,2,13.6,260000
2018,15000,1,16.2,600000
2009,140000,2,13.8,140000
2010,120000,3,19.7,130000
2007,112880,1,25.2,195000
2013,135000,2,19.4,210000
2006,80000,3,18.9,130000
2012,128000,3,18.6,141000
2011,120000,1,13.6,280000
2010,30000,1,12.6,350000
2018,70000,1,17,575000
2015,41000,1,18.6,550000
2006,30000,2,19.7,120000
2015,30000,1,23.95,320000
2011,35000,1,16.36,250000
2010,22000,1,15,300000
2006,70000,1,18.9,250000
2018,70000,1,16.5,750000
2005,200000,2,10.5,151000
2011,120000,1,13.93,300000
2019,3000,1,20.89,577000
2012,50000,1,20.92,229999
2013,50000,1,15.96,500000
2019,1500,1,18.2,840000
2017,74000,1,22.27,900000
2017,25000,1,18.7,650000
2016,61915,1,27.3,650000
2016,110000,1,21.1,250000
2016,70000,1,20.14,550000
2007,150000,4,17.8,250000
2013,110000,2,17.21,350000
2014,90000,2,25.44,185000
2010,120000,3,15.6,229999
2016,65000,1,12.99,1000000
2019,10000,1,20.52,490000
2009,80000,2,20.36,150000
2013,184000,1,20.77,600000
2013,80000,2,32.52,270000
2005,70000,2,17.3,60000
2008,89000,2,15.6,150000
2014,33033,1,19.4,335000
2013,69000,2,22.9,525000
2015,63063,1,18.9,465000
2012,90000,2,25,83000
2017,8000,1,21.1,300000
2012,35000,1,17,350000
2011,45000,1,17,300000
2011,30000,1,20.4,250000
2006,59000,2,16.1,114999
2018,6200,1,19.34,700000
2020,120000,2,21.63,250000
2016,70000,1,20.51,350000
1998,70000,1,14,80000
2017,110000,1,15.4,850000
2007,93000,3,18,90000
2014,110000,1,13.58,600000
2007,57000,1,19.7,135000
2005,120000,1,13.2,150000
2012,35000,1,23.03,259000
2012,90000,1,23.03,220000
2012,35000,2,23.03,246000
2009,120000,1,17.5,240000
2018,60000,1,22.1,946000
2011,70000,1,23.03,215000
1999,60000,4,17.3,50000
2013,100000,1,25.8,310000
2008,35000,1,20.36,220000
2008,90000,3,17.8,195000
2015,50000,1,17.19,650000
2011,98000,1,18.5,350000
2013,30000,1,18.5,360000
2013,50000,2,16.3,550000
2016,26000,1,18.9,490000
2011,46000,2,19.7,195000
2010,80000,4,19.7,125000
2019,10000,1,23.84,459999
2015,16700,1,22.74,275000
2018,70000,1,28.4,680000
2015,7967,1,20.85,600000
2018,20000,1,22,720000
2016,9656,1,25.17,356000
2011,50000,1,19.81,225000
2019,17000,1,24.4,725000
2010,50000,1,18,130000
2015,10000,1,25.17,300000
2013,43000,2,18.5,400000
2013,50000,1,23.5,550000
2006,90000,2,18.9,120000
2012,100000,2,14,409999
2010,80000,2,0,110000
2012,120000,1,15.96,450000
2019,5000,1,21.21,610000
2016,68609,1,22.7,515000
2018,33360,1,22.77,925000
2019,14317,1,14.23,860000
2012,87237,2,20,225000
2017,62960,1,25.83,500000
2017,26634,1,21.21,600000
2012,163720,1,18.5,195000
2012,67998,1,18.9,265000
2018,20706,1,23.8,650000
2015,100581,1,25.83,415000
2015,67303,1,20.45,600000
2013,79139,1,18.5,340000
2014,84784,1,24,350000
2012,130376,2,23.2,265000
2017,72000,1,13.93,625000
2008,127000,2,16.8,245000
2014,120000,1,25.2,395000
2014,100000,1,24.4,490000
2018,40000,1,24.52,955000
2013,110000,1,23.4,525000
2017,30000,1,20.3,550000
2014,120000,2,19.1,200000
2017,15000,1,18.16,500000
2016,33500,1,23.65,825000
2012,70000,1,17.21,250000
2015,10000,1,18.16,600000
2018,22053,1,16.36,1325000
2016,50000,1,18.49,770000
2011,78432,1,16.52,415000
2011,125000,2,14.66,825000
2018,80000,1,26.1,530000
2006,270000,3,12.8,425000
2012,50000,2,19.4,310000
2017,20000,1,23.84,390000
2016,30000,1,15.29,700000
2010,70000,2,19.81,200000
2013,7200,1,12.99,1050000
2014,97000,1,26,580000
2014,60000,2,21.1,200000
2013,25000,1,18.2,245000
2010,94000,2,20.36,210000
2005,90000,2,15.4,50000
2012,50000,2,12.12,700000
2019,35000,1,22.95,660000
2015,117500,2,17.4,630000
2012,78500,1,15.1,950000
2018,8000,1,18.6,740000
2017,25000,1,18.12,570000
2012,60000,3,22.32,450000
2019,10000,1,22.5,390000
2009,70000,2,14.2,180000
2015,60000,1,25.4,130000
2006,70000,2,17.7,270000
1997,25000,3,16.1,60000
2006,90000,3,13.9,170000
2015,90000,1,19.67,978999
2018,25000,1,23.84,490000
2012,60000,2,23.5,280000
2018,25000,1,23.84,390000
2013,60000,4,22.74,170000
2008,70000,1,18,45000
2016,80000,2,24.52,640000
2015,110000,2,15.4,650000
2013,115717,1,12.05,500000
2008,110000,2,17.7,90000
2014,70000,2,15.05,480000
2019,4000,1,21.21,630000
2011,50000,1,20.36,250000
2016,70000,4,18.9,330000
2009,70000,2,20.36,180000
2010,50000,2,18.5,210000
2016,55000,1,26.59,550000
2020,5000,1,17,950000
2013,100000,2,15.96,430000
2014,23000,2,20.36,348000
2014,60000,2,22.74,196000
2010,70000,2,18.9,150000
2009,60000,2,18.9,150000
2019,100000,1,14.1,1250000
2015,90000,3,20.77,600000
2010,26432,1,25.4,65000
2016,46702,1,16.8,220000
2016,46706,1,16.8,220000
2006,53523,1,16.84,110000
2012,56365,1,25.44,175000
2011,49563,1,16.2,160000
2004,56432,1,16.1,65000
2002,52365,2,16.1,60000
2007,53512,2,19.7,120000
2013,40000,1,11.18,1000000
2010,46533,1,18.9,220000
2008,58632,2,14,114999
2016,80000,2,16,850000
2016,70000,1,24.52,750000
2017,90000,1,23.01,265000
2014,110000,2,14.09,450000
2013,90000,1,17.21,225000
2015,70000,1,15.4,1125000
2009,80000,1,16.6,270000
2007,78000,1,19.7,130000
2017,45000,1,16.5,660000
2015,50000,2,23.95,240000
2017,58000,1,24.7,275000
2012,120000,1,12.8,750000
2007,30000,2,14.7,65000
2017,162000,1,14.1,850000
2016,50000,2,26.6,300000
2018,25000,2,18.6,555000
2015,60000,1,15.4,825000
2010,70000,3,13.45,150000
2009,138000,2,19.3,185000
2010,70000,2,20.36,180000
2010,48000,2,19.7,160000
2012,110000,1,11.4,500000
2014,88000,2,25.2,375000
2015,68000,1,12.99,900000
2017,70000,1,18.9,459999
2014,80000,1,20.45,480000
2013,100000,3,22.9,320000
2013,96000,2,22.9,370000
2002,30000,3,17.3,75000
2016,60000,3,23.2,400000
2014,65000,1,25.2,425000
2014,48000,1,23.1,325000
2016,65300,2,18.9,350000
2018,40000,1,18.6,600000
2012,60000,2,25.44,120000
2012,70000,2,20.92,200000
2008,70000,3,19.7,100000
2014,70000,2,24,350000
2006,150000,2,19.7,85000
2019,10000,1,23.95,399000
2014,56000,1,22.32,580000
2017,30000,1,22.7,290000
2014,50000,2,18.9,380000
2010,120000,1,20,200000
2018,40000,1,26.6,390000
2017,27500,1,18.9,500000
2012,73000,1,20.77,520000
2017,75000,1,26.59,650000
2018,5000,1,23.01,380000
2010,50000,1,26.2,275000
2015,70000,1,26.59,520000
2015,60000,1,26.59,610000
2004,110000,1,18.9,85000
2013,95000,1,20.46,490000
2015,34000,2,21.1,229999
2015,25000,1,18.9,411000
2019,120000,2,21.94,362000
2014,31000,1,23.59,550000
2018,70000,1,26.6,459999
2011,47000,1,18.5,190000
2019,5000,1,20.3,499000
2018,44000,1,15.37,358000
2012,120000,2,23.59,278000
2014,39395,1,21.2,320000
2013,67000,2,20.4,580000
2019,20000,1,17.4,1300000
2018,40000,1,25.8,825000
2004,120000,2,13.4,170000
2014,80000,2,12.55,1700000
2018,7000,1,20.3,490000
2018,15000,1,16,1050000
2016,50000,1,18.6,210000
2016,30000,1,15.4,1250000
2012,120000,2,22.9,320000
2012,64000,1,16.52,400000
2013,120000,1,23.2,320000
2012,85000,1,21.43,600000
2012,50000,1,20.92,275000
2009,59000,2,19.7,170000
2012,98000,1,25.44,155000
2015,140000,2,20.45,620000
2017,50000,1,18.9,530000
2015,40000,1,23.59,550000
2014,90000,1,26,600000
2014,117000,3,15.1,649000
2014,90000,1,26,625000
2010,70000,1,16,125000
2009,230000,2,13.58,305000
2010,155000,2,15.5,285000
2015,60000,2,13.49,600000
2016,110000,1,18.15,426000
2010,120000,1,17,180000
2011,100000,2,22.32,400000
2010,40000,2,18.6,120000
2012,110000,2,21.12,300000
2011,92500,2,20.92,190000
2017,20000,1,24.7,310000
2019,15000,1,25.17,380000
2019,14000,1,16.5,740000
2016,35000,1,22.7,260000
2017,32000,2,23.95,320000
2013,90000,1,26.6,211000
2018,35000,1,22,650000
2017,32500,2,28.4,651000
2019,14000,1,23.95,380000
2014,70000,3,25.44,160000
2019,20000,1,17,1270000
2011,300000,1,26.2,300000
2015,100000,1,25.2,405000
2015,64800,1,15.1,850000
2017,90000,1,16.5,680000
2014,80000,1,19.1,426999
2015,248000,1,24.8,525000
2014,60000,2,12.99,1019999
2005,120000,1,12.8,245000
2015,120000,1,22.7,869999
2010,66444,1,26.2,160000
2016,86000,1,24.3,700000
2012,90000,1,21.64,300000
2007,218463,1,12.9,175000
2012,153000,1,12.8,960000
2014,70000,2,16.55,525000
2015,60000,1,24,345000
2015,50000,1,18,390000
2015,20000,1,20.63,275000
2014,35000,1,18.2,310000
2017,20000,1,18.9,500000
2013,70000,1,22.1,200000
2018,53000,1,20.14,650000
2018,60000,1,25.6,1031000
2018,70000,1,20.3,330000
2019,4000,1,20.3,399000
2012,103000,1,20.36,250000
2017,20000,1,24,600000
2013,77000,1,22.9,375000
2012,90000,1,20.54,375000
2013,87185,2,22.32,445000
2003,167000,2,18.9,55000
2016,77000,1,22.54,611000
2014,110000,2,24.8,459999
2011,120000,2,17.8,275000
2011,170000,1,11.88,185000
2012,100000,2,22.32,390000
2007,40000,2,18,72000
2007,50000,1,17.88,90000
2015,125000,1,23.59,500000
2011,137000,1,26.2,200000
2019,18000,1,15.1,1575000
2015,30000,1,18.9,511000
2009,55000,1,14.6,150000
2020,40000,1,10.75,1500000
2013,80000,2,22.74,185000
2018,30000,1,21.4,550000
2017,3564,1,23.95,325000
2015,80000,1,26.59,525000
2018,13000,1,17,1050000
2012,120000,1,25,300000
2011,90000,1,18.6,120000
2017,9000,1,13.6,2625000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2015,110000,1,14.1,503000
2019,20000,1,18,3800000
2016,68089,1,19.16,2000000
2013,58343,1,21.79,225000
2018,38817,1,27.39,740000
2016,56494,1,18.2,550000
2013,79328,2,12.99,750000
2019,5621,1,22,650000
2017,25538,1,16.78,625000
2018,69779,1,22,600000
2017,56290,1,24,450000
2019,7500,1,16.78,5400000
2019,8500,1,16.78,5500000
2019,7032,1,19,779000
2016,11000,1,14.3,645000
2018,2000,1,16.8,2475000
2011,50000,3,17.92,170000
2010,42000,1,23.03,320000
2016,17000,1,23.1,350000
2018,40000,1,22,500000
2009,137000,2,17,135000
2018,20000,1,25.17,340000
2020,70000,2,18.9,330000
2011,48756,2,15.5,350000
2015,30000,2,12.55,1850000
2016,110000,1,24.4,400000
2014,80322,1,17.8,325000
2015,35000,1,15.4,1000000
2017,110000,1,15.4,850000
2012,70000,2,21.5,350000
2017,9000,1,13.6,2625000
2019,20000,1,22.37,5150000
2017,45000,1,19.33,3200000
2015,110000,1,14.1,503000
2019,20000,1,18,3800000
2016,68089,1,19.16,2000000
2013,58343,1,21.79,225000
2018,38817,1,27.39,740000
2016,56494,1,18.2,550000
2013,79328,2,12.99,750000
2019,5621,1,22,650000
2017,25538,1,16.78,625000
2018,69779,1,22,600000
2017,56290,1,24,450000
2019,7500,1,16.78,5400000
2019,8500,1,16.78,5500000
2019,7032,1,19,779000
2016,11000,1,14.3,645000
2018,2000,1,16.8,2475000
2015,120000,2,24.5,550000
2015,60000,1,14,925000
2010,97000,2,11.79,509999
2011,100000,2,13,250000
2015,36000,1,17.19,500000
2019,27000,1,21.38,1050000
2014,50000,1,23.4,490000
2020,15000,1,15.37,415000
2013,60000,2,22.74,190000
2018,120000,1,28.4,680000
2013,60000,2,22.74,190000
2013,173000,1,12.05,479000
2016,60000,2,22.74,270000
2008,70000,3,19.81,170000
2018,25000,1,20.73,764000
2019,30000,1,15.96,710000
2017,35000,1,24.7,310000
2017,100000,2,16.5,620000
2017,31000,2,21.1,280000
2015,80000,2,12.55,1500000
2016,40000,1,18.9,450000
2017,10000,2,17.9,2199000
2013,50000,1,11.74,3600000
2008,60000,2,15.3,285000
2007,210000,2,12.8,465000
2009,60000,2,16.07,1100000
2011,110000,2,20.54,350000
2017,35000,1,17.5,600000
2017,35000,1,21.4,570000
2016,20000,1,23.95,325000
2016,54000,1,16,975000
2015,60000,1,18.6,480000
2014,10300,1,22.74,185000
2015,50000,1,17.01,1050000
2019,3000,1,21.01,760000
2019,5000,1,18.78,570000
2018,13000,1,21.4,700000
2015,30000,1,15.63,775000
2007,60000,2,14.49,750000
2010,100000,2,18,140000
2016,40000,1,22.74,220000
2013,15000,1,0,184000
2017,50000,2,18.6,440000
2017,80000,1,21.19,650000
2017,50000,1,18.49,660000
2017,30000,1,21.94,380000
2012,125000,2,21.43,415000
2012,110000,1,19.81,225000
2013,30000,2,20.77,600000
2014,148000,2,20.77,620000
2016,35000,1,18.49,750000
2016,80000,2,18.9,400000
2005,110000,1,18.9,110000
2012,95000,2,19.4,119000
2015,25000,1,25.8,600000
2011,80000,1,26.3,200000
2014,60000,2,23,280000
2013,100000,1,15,375000
2016,50000,1,19.44,350000
2017,31000,1,25.4,620000
2017,120000,1,26.59,570000
2012,105000,2,19.3,290000
2016,120000,1,24.52,711000
2012,60000,1,22.9,370000
2020,15000,1,23.26,550000
2013,150000,2,18.6,325000
2018,93000,1,27.4,670000
2017,42000,2,19.81,385000
2008,80000,2,17.92,114999
2010,90000,1,17.92,200000
2019,6500,1,24.3,860000
2018,60000,1,27.39,600000
2016,110000,1,23.95,265000
2015,60000,2,23.7,155000
2019,60000,1,25.1,900000
2013,170000,3,20.77,650000
2004,220000,2,16.1,70000
2012,80000,1,22.74,180000
2013,57000,1,21.1,200000
2014,100000,1,19.81,300000
2015,40000,1,17.01,650000
2014,40000,1,22.74,267000
2018,50000,1,26.6,450000
2014,90000,2,18.9,400000
2012,86000,1,14,310000
2009,15000,1,26,70000
2017,70000,2,15.96,675000
2013,120000,1,14.09,350000
2014,80000,2,23.95,240000
2014,80000,2,19.09,185000
2017,50000,1,21.1,250000
2009,100000,1,19.7,135000
2011,80000,1,22.32,500000
2010,108957,1,13.93,300000
2017,68000,2,23.84,328000
2015,65000,1,15.96,509999
2015,110000,2,14.02,575000
2012,50000,1,12.2,700000
2008,100000,3,18.9,105000
2008,80000,2,16.1,60000
2008,80000,3,19.7,112999
2015,120000,2,19.1,229999
2012,150000,1,20,325000
2017,20000,1,18.6,650000
2009,80000,2,17,85000
2015,93000,2,24.5,570000
2015,134000,1,25.2,525000
2013,90000,2,18.5,350000
2007,60000,1,16.6,250000
2010,120000,2,14,300000
2017,30000,1,17.1,1325000
2017,22200,1,22.54,650000
2018,6000,1,18.9,520000
2016,32000,1,20.4,500000
2016,90000,1,25.17,220000
2017,78000,3,28.09,650000
2017,12000,1,17.5,819999
2016,120000,1,19.87,645000
2015,40000,1,24.52,780000
2008,110000,2,17.7,215000
2007,260000,3,12.8,600000
2011,10000,1,19.7,114999
2012,12000,1,16.84,75000
2011,60000,1,18.6,120000
2016,41000,1,25.17,250000
2018,25000,1,16.8,200000
2015,30000,1,19.1,380000
2018,50000,1,25.8,560000
2018,10000,1,20.89,575000
2017,40000,1,16.5,620000
2012,120000,1,12.05,525000
2017,40000,1,26.59,635000
2016,80000,1,19.72,650000
2001,42108,1,16.1,39000
2017,70000,2,25.83,550000
2009,150000,3,21.1,145000
2007,100000,3,16.1,130000
2017,79000,1,25.47,825000
2015,91000,2,12.55,1650000
2018,50000,1,24.3,875000
2016,81000,2,28.09,650000
2014,51000,1,14.74,2000000
2018,27000,1,17.05,2850000
2018,26000,1,15.73,2800000
2018,17100,1,22.48,3900000
2013,56000,1,22.1,246000
2013,60000,2,24.7,325000
2019,22000,1,16,1450000
2017,30000,1,15.4,850000
2015,43001,1,22.27,560000
2015,60000,1,25.47,575000
2019,9000,1,21.63,470000
2014,65000,1,19.09,221000
2014,95000,1,12.99,680000
2013,62000,1,13.1,700000
2016,48000,1,9,1950000
2015,72000,1,17.01,875000
2017,35000,3,22,850000
2013,100600,3,20.46,550000
2013,105000,3,23.4,480000
2017,90000,1,15.4,1050000
2016,92385,1,15.96,631000
2015,25000,1,25.4,165000
2010,60000,2,21.1,320000
2012,100000,2,18.5,360000
2006,25000,3,13,175000
2016,120000,1,22.54,725000
2014,185000,3,19.5,280000
2011,134000,2,22.07,325000
2014,120000,3,20,320000
2018,120000,1,18.9,500000
2014,165000,2,15.1,825000
2016,120000,3,23.2,350000
2011,89000,1,23,470000
2009,120000,3,19.2,125000
2006,120000,1,13.1,140000
2013,50000,1,25.8,484999
2018,15000,1,24.7,308000
2019,13000,1,18.9,570000
2010,240000,1,11.5,900000
2017,45000,1,16.3,1800000
2018,28000,1,21.21,680000
2017,70000,1,28.4,700000
2011,116000,1,14,240000
2014,90000,1,21.1,280000
2010,120000,2,17,125000
2015,50000,2,20.4,434999
2015,120000,1,12.99,1050000
2013,72500,2,23.3,1200000
2013,120000,2,20.54,400000
2014,120000,1,15.1,850000
2014,83000,2,22.54,475000
2003,40000,3,14.2,150000
2018,46000,1,14.24,2900000
2015,137000,1,12.99,1100000
2017,25000,2,24.7,285000
2018,50000,1,24,650000
2012,60000,1,19,275000
2000,100000,2,16.1,60000
2011,105000,2,19.2,229999
2015,20000,1,23.95,300000
2016,50000,1,24.52,940000
2015,120000,2,26.21,600000
2017,70000,1,27.39,800000
2017,90000,2,22.71,580000
2018,75000,1,20.3,450000
